"","Acrit","Presence","above.Acrit","dominance","delta.alpha","delta.gamma.c","delta.beta.z"
"coef",NA,0.2867,-0.5789,0.1558,-0.628,-0.0482,-0.5727
"P.val",1,0.4911,0.1327,0.7125,0.0954,0.9098,0.1379
"df",NA,6,6,6,6,6,6
"coef",0.2867,NA,0.4917,0.5198,-0.13,-0.6992,0.1408
"P.val",0.4911,1,0.2159,0.1867,0.7589,0.0536,0.7395
"df",6,NA,6,6,6,6,6
"coef",-0.5789,0.4917,NA,0.15,0.3801,-0.6091,0.6782
"P.val",0.1327,0.2159,1,0.7229,0.353,0.1089,0.0645
"df",6,6,NA,6,6,6,6
"coef",0.1558,0.5198,0.15,NA,-0.098,0.0686,-0.0304
"P.val",0.7125,0.1867,0.7229,1,0.8174,0.8717,0.943
"df",6,6,6,NA,6,6,6
"coef",-0.628,-0.13,0.3801,-0.098,NA,0.0255,0.3881
"P.val",0.0954,0.7589,0.353,0.8174,1,0.9521,0.3421
"df",6,6,6,6,NA,6,6
"coef",-0.0482,-0.6992,-0.6091,0.0686,0.0255,NA,-0.0166
"P.val",0.9098,0.0536,0.1089,0.8717,0.9521,1,0.9689
"df",6,6,6,6,6,NA,6
"coef",-0.5727,0.1408,0.6782,-0.0304,0.3881,-0.0166,NA
"P.val",0.1379,0.7395,0.0645,0.943,0.3421,0.9689,1
"df",6,6,6,6,6,6,NA
